OMIM:106100	HP:0012027
OMIM:106100	HP:0002027
OMIM:106100	HP:0005225
OMIM:106100	HP:0002014
OMIM:106100	HP:0002013
OMIM:106190	HP:0000007
OMIM:106190	HP:0000970
OMIM:106210	HP:0000006
OMIM:106210	HP:0000526
OMIM:106210	HP:0000518
OMIM:106210	HP:0000501
OMIM:106210	HP:0007957
OMIM:106260	HP:0000006
OMIM:106260	HP:0000300
OMIM:106260	HP:0000405
OMIM:106260	HP:0000413
OMIM:106260	HP:0009755
OMIM:106260	HP:0000564
OMIM:106260	HP:0200102
OMIM:106260	HP:0000509
OMIM:106260	HP:0000498
OMIM:106260	HP:0000431
OMIM:106260	HP:0000204
OMIM:106260	HP:0000175
OMIM:106260	HP:0000698
OMIM:106260	HP:0000687
OMIM:106260	HP:0000668
OMIM:106260	HP:0001592
OMIM:106260	HP:0001629
OMIM:106260	HP:0001643
OMIM:106260	HP:0002558
OMIM:106260	HP:0000047
OMIM:106260	HP:0000054
OMIM:106260	HP:0004691
OMIM:106260	HP:0000982
OMIM:106260	HP:0000962
OMIM:106260	HP:0001798
OMIM:106260	HP:0008404
OMIM:106260	HP:0002232
OMIM:106260	HP:0200102
OMIM:106260	HP:0002231
OMIM:106260	HP:0002232
OMIM:106260	HP:0200102
OMIM:106260	HP:0002231
OMIM:106300	HP:0012122
OMIM:106300	HP:0001659
OMIM:106300	HP:0011675
OMIM:106300	HP:0002037
OMIM:106300	HP:0001369
OMIM:106300	HP:0003765
OMIM:106300	HP:0001425
OMIM:106600	HP:0000668
OMIM:106600	HP:0000006
OMIM:106700	HP:0002092
OMIM:106700	HP:0002205
OMIM:106700	HP:0000006
OMIM:106995	HP:0000006
OMIM:106995	HP:0000494
OMIM:106995	HP:0000426
OMIM:106995	HP:0000448
OMIM:106995	HP:0000430
OMIM:106995	HP:0000322
OMIM:106995	HP:0000218
OMIM:106995	HP:0009237
OMIM:106995	HP:0009943
OMIM:106995	HP:0008404
OMIM:106995	HP:0001798
OMIM:107000	HP:0000006
OMIM:107000	HP:0009884
OMIM:107000	HP:0009884
OMIM:107000	HP:0008404
OMIM:107100	HP:0002023
OMIM:107100	HP:0000143
OMIM:107100	HP:0000006
OMIM:107200	HP:0000006
OMIM:107250	HP:0007700
OMIM:107250	HP:0000518
OMIM:107250	HP:0007957
OMIM:107250	HP:0000006
OMIM:107480	HP:0000006
OMIM:107480	HP:0000252
OMIM:107480	HP:0004453
OMIM:107480	HP:0000400
OMIM:107480	HP:0000384
OMIM:107480	HP:0004467
OMIM:107480	HP:0008551
OMIM:107480	HP:0100015
OMIM:107480	HP:0000407
OMIM:107480	HP:0000567
OMIM:107480	HP:0009921
OMIM:107480	HP:0001636
OMIM:107480	HP:0001629
OMIM:107480	HP:0002247
OMIM:107480	HP:0002023
OMIM:107480	HP:0002025
OMIM:107480	HP:0002020
OMIM:107480	HP:0001537
OMIM:107480	HP:0000047
OMIM:107480	HP:0000048
OMIM:107480	HP:0000028
OMIM:107480	HP:0000143
OMIM:107480	HP:0000136
OMIM:107480	HP:0000089
OMIM:107480	HP:0000003
OMIM:107480	HP:0000110
OMIM:107480	HP:0000083
OMIM:107480	HP:0000076
OMIM:107480	HP:0011304
OMIM:107480	HP:0009944
OMIM:107480	HP:0001199
OMIM:107480	HP:0100258
OMIM:107480	HP:0006179
OMIM:107480	HP:0001440
OMIM:107480	HP:0010743
OMIM:107480	HP:0010331
OMIM:107480	HP:0009779
OMIM:107480	HP:0001249
OMIM:107480	HP:0000821
OMIM:107600	HP:0000006
OMIM:107600	HP:0000007
OMIM:107600	HP:0004471
OMIM:107650	HP:0002870
OMIM:107650	HP:0000458
OMIM:107650	HP:0000006
OMIM:107970	HP:0000006
OMIM:107970	HP:0011663
OMIM:107970	HP:0004308
OMIM:107970	HP:0001645
OMIM:107970	HP:0001425
OMIM:108010	HP:0002408
OMIM:108010	HP:0000006
OMIM:108120	HP:0000006
OMIM:108120	HP:0009742
OMIM:108120	HP:0003273
OMIM:108120	HP:0001374
OMIM:108120	HP:0003184
OMIM:108120	HP:0002987
OMIM:108120	HP:0006380
OMIM:108120	HP:0012385
OMIM:108120	HP:0001032
OMIM:108120	HP:0000954
OMIM:108120	HP:0001762
OMIM:108120	HP:0001032
OMIM:108120	HP:0000954
OMIM:108120	HP:0001425
OMIM:108145	HP:0000006
OMIM:108145	HP:0004322
OMIM:108145	HP:0000325
OMIM:108145	HP:0004673
OMIM:108145	HP:0000411
OMIM:108145	HP:0000602
OMIM:108145	HP:0000490
OMIM:108145	HP:0000286
OMIM:108145	HP:0000512
OMIM:108145	HP:0000581
OMIM:108145	HP:0000540
OMIM:108145	HP:0000508
OMIM:108145	HP:0009921
OMIM:108145	HP:0007703
OMIM:108145	HP:0000486
OMIM:108145	HP:0000483
OMIM:108145	HP:0001119
OMIM:108145	HP:0000563
OMIM:108145	HP:0000218
OMIM:108145	HP:0002091
OMIM:108145	HP:0000767
OMIM:108145	HP:0002650
OMIM:108145	HP:0005879
OMIM:108145	HP:0100807
OMIM:108145	HP:0006184
OMIM:108145	HP:0006251
OMIM:108145	HP:0012385
OMIM:108145	HP:0030084
OMIM:108145	HP:0006184
OMIM:108145	HP:0003199
OMIM:108145	HP:0003725
OMIM:108300	HP:0000006
OMIM:108300	HP:0001519
OMIM:108300	HP:0040199
OMIM:108300	HP:0000407
OMIM:108300	HP:0000545
OMIM:108300	HP:0000541
OMIM:108300	HP:0000618
OMIM:108300	HP:0000501
OMIM:108300	HP:0000463
OMIM:108300	HP:0005280
OMIM:108300	HP:0000175
OMIM:108300	HP:0000201
OMIM:108300	HP:0001634
OMIM:108300	HP:0000767
OMIM:108300	HP:0002650
OMIM:108300	HP:0002808
OMIM:108300	HP:0001166
OMIM:108300	HP:0003040
OMIM:108500	HP:0000006
OMIM:108500	HP:0000360
OMIM:108500	HP:0001152
OMIM:108500	HP:0000640
OMIM:108500	HP:0002321
OMIM:108500	HP:0002486
OMIM:108500	HP:0001260
OMIM:108500	HP:0002076
OMIM:108500	HP:0001324
OMIM:108500	HP:0003401
OMIM:108500	HP:0001751
OMIM:108500	HP:0006855
OMIM:108500	HP:0003829
OMIM:108500	HP:0002073
OMIM:108600	HP:0000006
OMIM:108600	HP:0000496
OMIM:108600	HP:0000514
OMIM:108600	HP:0000605
OMIM:108600	HP:0000508
OMIM:108600	HP:0002015
OMIM:108600	HP:0002497
OMIM:108600	HP:0001258
OMIM:108600	HP:0001288
OMIM:108600	HP:0001260
OMIM:108600	HP:0001347
OMIM:108600	HP:0001332
OMIM:108600	HP:0002354
OMIM:108600	HP:0003828
OMIM:108650	HP:0000006
OMIM:108650	HP:0000616
OMIM:108650	HP:0000648
OMIM:108650	HP:0000639
OMIM:108650	HP:0002075
OMIM:108720	HP:0000006
OMIM:108720	HP:0008873
OMIM:108720	HP:0002007
OMIM:108720	HP:0000347
OMIM:108720	HP:0011800
OMIM:108720	HP:0000520
OMIM:108720	HP:0005280
OMIM:108720	HP:0003196
OMIM:108720	HP:0000175
OMIM:108720	HP:0000470
OMIM:108720	HP:0001602
OMIM:108720	HP:0000878
OMIM:108720	HP:0000028
OMIM:108720	HP:0002949
OMIM:108720	HP:0004592
OMIM:108720	HP:0003417
OMIM:108720	HP:0008905
OMIM:108720	HP:0003042
OMIM:108720	HP:0006495
